DATE,S&P500
12/22/2014,2078.54
12/23/2014,2082.17
12/24/2014,2081.88
12/26/2014,2088.77
12/29/2014,2090.57
12/30/2014,2080.35
12/31/2014,2058.9
1/2/2015,2058.2
1/5/2015,2020.58
1/6/2015,2002.61
1/7/2015,2025.9
1/8/2015,2062.14
1/9/2015,2044.81
1/12/2015,2028.26
1/13/2015,2023.03
1/14/2015,2011.27
1/15/2015,1992.67
1/16/2015,2019.42
1/20/2015,2022.55
1/21/2015,2032.12
1/22/2015,2063.15
1/23/2015,2051.82
1/26/2015,2057.09
1/27/2015,2029.55
1/28/2015,2002.16
1/29/2015,2021.25
1/30/2015,1994.99
2/2/2015,2020.85
2/3/2015,2050.03
2/4/2015,2041.51
2/5/2015,2062.52
2/6/2015,2055.47
2/9/2015,2046.74
2/10/2015,2068.59
2/11/2015,2068.53
2/12/2015,2088.48
2/13/2015,2096.99
2/17/2015,2100.34
2/18/2015,2099.68
2/19/2015,2097.45
2/20/2015,2110.3
2/23/2015,2109.66
2/24/2015,2115.48
2/25/2015,2113.86
2/26/2015,2110.74
2/27/2015,2104.5
3/2/2015,2117.39
3/3/2015,2107.78
3/4/2015,2098.53
3/5/2015,2101.04
3/6/2015,2071.26
3/9/2015,2079.43
3/10/2015,2044.16
3/11/2015,2040.24
3/12/2015,2065.95
3/13/2015,2053.4
3/16/2015,2081.19
3/17/2015,2074.28
3/18/2015,2099.5
3/19/2015,2089.27
3/20/2015,2108.1
3/23/2015,2104.42
3/24/2015,2091.5
3/25/2015,2061.05
3/26/2015,2056.15
3/27/2015,2061.02
3/30/2015,2086.24
3/31/2015,2067.89
4/1/2015,2059.69
4/2/2015,2066.96
4/6/2015,2080.62
4/7/2015,2076.33
4/8/2015,2081.9
4/9/2015,2091.18
4/10/2015,2102.06
4/13/2015,2092.43
4/14/2015,2095.84
4/15/2015,2106.63
4/16/2015,2104.99
4/17/2015,2081.18
4/20/2015,2100.4
4/21/2015,2097.29
4/22/2015,2107.96
4/23/2015,2112.93
4/24/2015,2117.69
4/27/2015,2108.92
4/28/2015,2114.76
4/29/2015,2106.85
4/30/2015,2085.51
5/1/2015,2108.29
5/4/2015,2114.49
5/5/2015,2089.46
5/6/2015,2080.15
5/7/2015,2088
5/8/2015,2116.1
5/11/2015,2105.33
5/12/2015,2099.12
5/13/2015,2098.48
5/14/2015,2121.1
5/15/2015,2122.73
5/18/2015,2129.2
5/19/2015,2127.83
5/20/2015,2125.85
5/21/2015,2130.82
5/22/2015,2126.06
5/26/2015,2104.2
5/27/2015,2123.48
5/28/2015,2120.79
5/29/2015,2107.39
6/1/2015,2111.73
6/2/2015,2109.6
6/3/2015,2114.07
6/4/2015,2095.84
6/5/2015,2092.83
6/8/2015,2079.28
6/9/2015,2080.15
6/10/2015,2105.2
6/11/2015,2108.86
6/12/2015,2094.11
6/15/2015,2084.43
6/16/2015,2096.29
6/17/2015,2100.44
6/18/2015,2121.24
6/19/2015,2109.99
6/22/2015,2122.85
6/23/2015,2124.2
6/24/2015,2108.58
6/25/2015,2102.31
6/26/2015,2101.49
6/29/2015,2057.64
6/30/2015,2063.11
7/1/2015,2077.42
7/2/2015,2076.78
7/6/2015,2068.76
7/7/2015,2081.34
7/8/2015,2046.68
7/9/2015,2051.31
7/10/2015,2076.62
7/13/2015,2099.6
